Date,P,D,E
2001.04,1189.84,15.88,42.56
2001.05,1270.37,15.78,39.67
2001.06,1238.71,15.69,36.79
2001.07,1204.45,15.71,33.96
2001.08,1178.50,15.72,31.14
2001.09,1044.64,15.74,28.31
2001.1,1076.59,15.74,27.10
2001.11,1129.68,15.74,25.90
2001.12,1144.93,15.74,24.69
2002.01,1140.21,15.74,24.69
2002.02,1100.67,15.73,24.70
2002.03,1153.79,15.73,24.70
2002.04,1111.93,15.83,25.38
2002.05,1079.25,15.94,26.06
2002.06,1014.02,16.04,26.74
2002.07,903.59,15.96,27.84
2002.08,912.55,15.88,28.94
2002.09,867.81,15.80,30.04
2002.1,854.63,15.89,29.22
2002.11,909.93,15.98,28.41
2002.12,899.18,16.07,27.59
2003.01,895.84,16.12,28.50
2003.02,837.03,16.17,29.41
2003.03,846.63,16.22,30.32
2003.04,890.03,16.20,31.73
2003.05,935.96,16.19,33.14
2003.06,988.00,16.17,34.55
2003.07,992.54,16.31,35.89
2003.08,989.53,16.45,37.24
2003.09,1019.44,16.59,38.58
2003.1,1038.73,16.86,41.97
2003.11,1049.90,17.12,45.35
2003.12,1080.64,17.39,48.74
2004.01,1132.52,17.60,49.83
2004.02,1143.36,17.81,50.91
2004.03,1123.98,18.02,52.00
2004.04,1133.36,18.21,53.38
2004.05,1102.78,18.41,54.77
2004.06,1132.76,18.60,56.15
2004.07,1105.85,18.79,56.69
2004.08,1088.94,18.97,57.23
2004.09,1117.66,19.16,57.77
2004.1,1117.21,19.25,58.03
2004.11,1168.94,19.35,58.29
2004.12,1199.21,19.44,58.55
2005.01,1181.41,19.70,59.11
2005.02,1199.63,19.97,59.66
2005.03,1194.90,20.23,60.22
2005.04,1164.43,20.46,61.23
2005.05,1178.28,20.70,62.25
2005.06,1202.25,20.93,63.26
2005.07,1222.24,21.11,64.33
2005.08,1224.27,21.29,65.40
2005.09,1225.92,21.47,66.47
2005.1,1191.96,21.72,67.59
2005.11,1237.37,21.97,68.71
2005.12,1262.07,22.22,69.83
2006.01,1278.73,22.41,70.78
2006.02,1276.65,22.59,71.72
2006.03,1293.74,22.78,72.67
2006.04,1302.17,23.00,73.28
2006.05,1290.01,23.22,73.88
2006.06,1253.17,23.44,74.49
2006.07,1260.24,23.66,75.85
2006.08,1287.15,23.88,77.21
2006.09,1317.74,24.10,78.57
2006.1,1363.38,24.36,79.55
2006.11,1388.64,24.62,80.53
2006.12,1416.42,24.88,81.51
2007.01,1424.16,25.08,82.06
2007.02,1444.80,25.29,82.60
2007.03,1406.95,25.49,83.15
2007.04,1463.64,25.72,83.74
2007.05,1511.14,25.94,84.33
2007.06,1514.19,26.17,84.92
2007.07,1520.71,26.44,82.81
2007.08,1454.62,26.71,80.71
2007.09,1497.12,26.98,78.60
2007.1,1539.66,27.23,74.46
2007.11,1463.39,27.48,70.32
2007.12,1479.22,27.73,66.18
2008.01,1378.76,27.92,64.25
2008.02,1354.87,28.11,62.32
2008.03,1316.94,28.3,60.39
2008.04,1370.47,28.44,57.38
2008.05,1403.22,28.57,54.38
2008.06,1341.25,28.71,51.37
2008.07,1257.33,28.76,49.56
2008.08,1281.47,28.80,47.76
2008.09,1216.95,28.85,45.95
2008.1,968.8,28.70,35.59
2008.11,883.04,28.54,25.24
2008.12,877.56,28.39,14.88
2009.01,865.58,28.01,12.21
2009.02,805.23,27.64,9.53
2009.03,757.13,27.26,6.86
2009.04,848.15,26.70,7.08
2009.05,902.41,26.15,7.29
2009.06,926.12,25.59,7.51
2009.07,935.82,25.03,9.19
2009.08,1009.73,24.46,10.86
2009.09,1044.55,23.9,12.54
2009.1,1067.66,23.40,25.35
2009.11,1088.07,22.91,38.16
2009.12,1110.38,22.41,50.97
2010.01,1123.58,22.24,54.29
2010.02,1089.16,22.07,57.61
2010.03,1152.05,21.9,60.93
2010.04,1197.32,21.95,62.99
2010.05,1125.06,21.99,65.04
2010.06,1083.36,22.04,67.1
2010.07,1079.8,22.14,68.69
2010.08,1087.28,22.25,70.27
2010.09,1122.08,22.35,71.86
2010.1,1171.58,22.48,73.69
2010.11,1198.89,22.60,75.52
2010.12,1241.53,22.73,77.35
2011.01,1282.62,22.96,78.67
2011.02,1321.12,23.20,79.99
2011.03,1304.49,23.43,81.31
2011.04,1331.51,23.73,82.16
2011.05,1338.31,24.04,83.02
2011.06,1287.29,24.34,83.87
2011.07,1325.19,24.62,84.91
2011.08,1185.31,24.90,85.94
2011.09,1173.88,25.18,86.98
2011.1,1207.22,25.60,86.97
2011.11,1226.42,26.01,86.96
2011.12,1243.32,26.43,86.95
2012.01,1300.58,26.74,87.48
2012.02,1352.49,27.04,88.01
2012.03,1389.24,27.35,88.54
2012.04,1386.43,27.67,88.33
2012.05,1341.27,28.00,88.13
2012.06,1323.48,28.32,87.92
2012.07,1359.78,28.74,87.45
2012.08,1403.45,29.17,86.97
2012.09,1443.42,29.59,86.5
2012.1,1437.82,30.14,86.50
2012.11,1394.51,30.70,86.51
2012.12,1422.29,31.25,86.51
2013.01,1480.4,31.54,86.91
2013.02,1512.31,31.82,87.30
2013.03,1550.83,32.11,87.7
2013.04,1570.7,32.50,88.78
2013.05,1639.84,32.88,89.87
2013.06,1618.77,33.27,90.95
2013.07,1668.68,33.65,92.09
2013.08,1670.09,34.02,93.23
2013.09,1687.17,34.4,94.37
2013.1,1720.03,34.60,96.31
2013.11,1783.54,34.79,98.26
2013.12,1807.78,34.99,100.2
2014.01,1822.36,35.40,100.42
2014.02,1817.04,35.82,100.63
2014.03,1863.52,36.23,100.85
2014.04,1864.26,36.61,101.61
2014.05,1889.77,37.00,102.36
2014.06,1947.09,37.38,103.12
2014.07,1973.1,37.75,104.07
2014.08,1961.53,38.12,105.01
2014.09,1993.23,38.49,105.96
2014.1,1937.27,38.81,104.74
2014.11,2044.57,39.12,103.53
2014.12,2054.27,39.44,102.31
2015.01,2028.18,39.90,101.29
2015.02,2082.2,40.35,100.27
2015.03,2079.99,40.81,99.25
2015.04,2094.86,41.12,97.80
2015.05,2111.94,41.43,96.36
2015.06,2099.29,41.74,94.91
2015.07,2094.14,42.00,93.49
2015.08,2039.87,42.25,92.08
2015.09,1944.41,42.51,90.66
2015.1,2024.81,42.80,89.28
2015.11,2080.62,43.10,87.91
2015.12,2054.08,43.39,86.53
2016.01,1918.6,43.55,86.50
2016.02,1904.42,43.72,86.47
2016.03,2021.95,43.88,86.44
2016.04,2075.54,44.07,86.60
2016.05,2065.55,44.27,86.76
2016.06,2083.89,44.46,86.92
2016.07,2148.9,44.65,87.64
2016.08,2170.95,44.84,88.37
2016.09,2157.69,45.03,89.09
2016.1,2143.02,45.25,90.91
2016.11,2164.99,45.48,92.73
2016.12,2246.63,45.7,94.55
2017.01,2275.12,45.93,96.46
2017.02,2329.91,46.15,98.38
2017.03,2366.82,46.38,100.29
2017.04,2359.31,46.66,
2017.05,2395.35,46.94,
2017.06,2433.99,47.22,
2017.07,2454.1,,
2017.08,2456.22,,
2017.09,2500.23,,
